Chr	Start	spliceAImax_score
chr16	14846575	0.99
chr16	14865156	0.85
chr16	14876792	0.84
chr16	14941811	0.99
chr16	15008848	0.99
chr16	15708802	0.0
chr16	15882948	0.12
chr16	16163193	0.78
chr16	16263645	0.86
chr16	16267133	0.95
chr16	16387499	0.99
chr16	19009416	0.97
chr16	19628754	0.99
chr16	19717694	0.0
chr16	19718157	0.98
chr16	19763846	0.9
chr16	20323380	0.27
chr16	20323391	0.05
chr16	20374820	0.98
chr16	20427869	0.79
chr16	20439798	1.0
chr16	20439920	1.0
chr16	20460105	0.97
chr16	20469720	0.99
chr16	20540653	1.0
chr16	20796884	0.91
chr16	20902487	0.06
chr16	21003103	0.94
chr16	21069596	0.82
chr16	21081729	0.96
chr16	21111991	0.64
chr16	21127685	0.97
chr16	21141299	1.0
chr16	21158748	0.03
chr16	21199668	0.88
chr16	21203253	0.99
chr16	21269789	1.0
chr16	21612837	0.98
chr16	21719506	0.05
chr16	22008408	1.0
chr16	22008409	0.99
chr16	22097571	0.84
chr16	22097697	0.91
chr16	22131281	0.72
chr16	22169503	0.81
chr16	22170952	0.97
chr16	22186795	0.97
chr16	22190138	0.97
chr16	22257641	0.98
chr16	22258696	0.93
chr16	23380170	0.99
chr16	23403693	0.98
chr16	23524456	0.08
chr16	23557948	0.9
chr16	24553559	0.02
chr16	24553560	0.02
chr16	24870006	0.99
chr16	24891076	0.89
chr16	24935640	0.99
chr16	24970506	0.99
chr16	25169215	0.42
chr16	25247392	0.95
chr16	27464837	0.99
chr16	27681397	0.98
chr16	27777971	0.28
chr16	28392144	1.0
chr16	28494739	0.82
chr16	28595936	0.89
chr16	28606856	0.99
chr16	28607078	0.99
chr16	28723162	1.0
chr16	28766183	0.95
chr16	28766293	0.97
chr16	28832400	0.99
chr16	28974865	0.17
chr16	28981900	0.64
chr16	28989773	0.99
chr16	29390137	0.96
chr16	29457927	0.99
chr16	29880066	0.99
chr16	29911175	0.14
chr16	30010237	0.95
chr16	30108212	0.86
chr16	30197269	1.0
chr16	30200724	0.96
chr16	30381338	0.56
chr16	30533153	0.96
chr16	30652720	0.98
chr16	30949518	0.99
chr16	30957966	0.57
chr16	30985825	0.94
chr16	31081702	0.93
chr16	31127090	1.0
chr16	31141721	0.84
chr16	31214298	0.85
chr16	31216742	0.04
chr16	31261799	0.99
chr16	31331634	0.92
chr16	31372510	0.86
chr16	31410393	0.97
chr16	31418192	0.76
chr16	31459341	0.17
chr16	31466078	0.97
chr16	31472225	0.21
chr16	31487318	0.86
chr16	31492341	0.99
chr16	46885332	0.29
chr16	47594135	0.98
chr16	47698589	1.0
chr16	48086821	0.67
chr16	48096904	0.1
chr16	48107320	0.47
chr16	48124286	0.87
chr16	48167367	1.0
chr16	48170219	0.99
chr16	48184628	0.96
chr16	48192519	0.99
chr16	48215196	0.84
chr16	48227966	0.91
chr16	48244208	0.22
chr16	48299661	1.0
chr16	49396679	1.0
chr16	50066366	1.0
chr16	50066666	0.33
chr16	50320392	0.99
chr16	50339975	1.0
chr16	50697317	0.97
chr16	50716671	0.88
chr16	50723300	0.99
chr16	50742125	0.97
chr16	50744728	0.4
chr16	53227394	1.0
chr16	53636514	0.99
chr16	53900638	0.12
chr16	55816963	0.74
chr16	55819534	1.0
chr16	55828975	0.71
chr16	55833003	0.98
chr16	55856375	0.94
chr16	55871624	0.96
chr16	55871764	
chr16	55871765	
chr16	56451569	0.21
chr16	56462635	0.98
chr16	56502672	0.72
chr16	56667382	0.32
chr16	56683163	0.89
chr16	56882395	0.87
chr16	56981645	0.9
chr16	56982238	0.97
chr16	57178707	0.0
chr16	57358891	0.69
chr16	57430257	0.71
chr16	57469295	0.62
chr16	57470130	1.0
chr16	57470356	0.83
chr16	57673320	1.0
chr16	57698153	0.98
chr16	57699025	0.98
chr16	57736977	0.87
chr16	57788574	0.72
chr16	57897396	0.85
chr16	57911752	0.91
chr16	57916180	0.99
chr16	57923272	0.99
chr16	57962611	0.99
chr16	57962972	0.82
chr16	58279690	0.55
chr16	58503904	0.98
chr16	66482877	0.0
chr16	66548976	0.97
chr16	66725945	0.94
chr16	66925205	0.3
chr16	66941505	1.0
chr16	66964728	0.99
chr16	66972667	0.99
chr16	66972852	0.97
chr16	67003361	0.99
chr16	67161939	0.17
chr16	67169630	0.75
chr16	67181557	0.53
chr16	67184900	0.9
chr16	67201874	0.88
chr16	67288488	0.65
chr16	67294968	0.98
chr16	67376726	0.67
chr16	67538658	0.5
chr16	67658643	0.03
chr16	67660047	0.93
chr16	67759733	0.05
chr16	67824582	0.98
chr16	67827074	
chr16	67827075	
chr16	67835171	0.9
chr16	67930725	0.99
chr16	67931001	0.99
chr16	67935962	1.0
chr16	67936693	0.99
chr16	67977937	1.0
chr16	67979638	0.89
chr16	67980092	0.98
chr16	68273905	0.65
chr16	68287745	1.0
chr16	68361308	0.98
chr16	68363561	0.01
chr16	68645426	0.97
chr16	68738413	0.0
chr16	68919220	1.0
chr16	69150905	0.98
chr16	69153681	0.95
chr16	69245817	0.99
chr16	69568494	0.93
chr16	69684885	0.95
chr16	69749557	0.95
chr16	69952033	1.0
chr16	70138186	0.17
chr16	70144535	0.0
chr16	70174403	0.98
chr16	70383237	0.99
chr16	70454631	1.0
chr16	70471353	1.0
chr16	70472539	0.97
chr16	70514334	0.99
chr16	71289350	0.2
chr16	71382777	0.49
chr16	71461153	0.46
chr16	71573538	0.99
chr16	72130359	0.95
chr16	72132993	0.99
chr16	72140410	0.36
chr16	72154460	0.91
chr16	74418299	0.96
chr16	74418300	0.96
chr16	74660931	0.99
chr16	74665232	0.38
chr16	74666841	0.14
chr16	74691276	0.88
chr16	74949717	0.99
chr16	75152908	0.99
chr16	75451668	0.29
chr16	75464671	0.83
chr16	77211277	0.86
chr16	77355939	1.0
chr16	77788916	0.19
chr16	80997313	0.98
chr16	80998352	0.12
chr16	81001247	0.87
chr16	81036207	1.0
chr16	81041483	0.99
chr16	81117533	0.63
chr16	81123649	0.9
chr16	81130458	0.98
chr16	81147515	0.99
chr16	81148138	0.44
chr16	81156857	0.97
chr16	81159623	1.0
chr16	81181273	0.99
chr16	81188999	0.93
chr16	81198661	0.95
chr16	81216244	0.96
chr16	81262284	0.99
chr16	81931655	1.0
chr16	82068168	0.98
chr16	82639466	0.88
chr16	83171521	0.3
chr16	83180867	0.32
chr16	83912216	0.97
chr16	84041967	1.0
chr16	84131101	0.95
chr16	84135607	0.87
chr16	84180996	0.59
chr16	84236729	0.89
chr16	84326956	0.93
chr16	84410702	0.95
chr16	84451919	0.99
chr16	84453372	0.9
chr16	84768360	0.68
chr16	85071781	1.0
chr16	85102329	1.0
chr16	85110461	0.96
chr16	85710163	0.94
chr16	86554643	0.88
chr16	87756393	0.43
chr16	87756398	0.94
chr16	88532936	0.99
chr16	88653299	1.0
chr16	88655198	0.99
chr16	88702789	0.26
chr16	88714229	0.95
chr16	88723010	0.95
chr16	88731912	0.01
chr16	88733456	0.08
chr16	88733746	0.1
chr16	88737727	0.97
chr16	88811819	0.65
chr16	88857185	0.99
chr16	88864851	0.95
chr16	88864942	0.99
chr16	88865562	0.95
chr16	88877277	0.04
chr16	89154088	0.99
chr16	89196308	0.88
chr16	89197410	1.0
chr16	89198337	0.98
chr16	89199192	0.98
chr16	89291185	0.25
chr16	89548001	0.99
chr16	89553792	1.0
chr16	89689325	0.91
chr16	89695728	0.48
chr16	89712524	0.03
chr16	89775816	0.99
chr16	89799603	0.52
chr16	89814615	0.98
chr16	89856237	0.99
chr16	89949640	0.39
chr16	89950066	0.02
chr16	90074915	0.99
chr17	219622	0.87
chr17	410648	0.9
chr17	780740	0.44
chr17	781861	0.94
chr17	787964	0.96
chr17	1467579	0.0
chr17	1477598	0.0
chr17	1482859	1.0
chr17	1483061	0.01
chr17	1586962	0.22
chr17	1660003	0.01
chr17	1708223	0.97
chr17	1733525	0.92
chr17	1745331	0.98
chr17	2042232	0.96
chr17	2042604	0.95
chr17	2332960	1.0
chr17	2333125	1.0
chr17	2363136	0.11
chr17	2376816	0.99
chr17	2379431	0.99
chr17	2691986	
chr17	2694855	1.0
chr17	3471679	0.28
chr17	3530026	0.98
chr17	3595662	0.83
chr17	3630204	0.9
chr17	3630347	0.82
chr17	3755115	0.99
chr17	3951579	0.97
chr17	4143314	0.12
chr17	4143315	0.12
chr17	4263593	0.58
chr17	4542743	0.49
chr17	4545024	1.0
chr17	4552450	0.97
chr17	4584100	0.66
chr17	4632058	1.0
chr17	4674958	0.05
chr17	4720210	0.08
chr17	4720549	0.48
chr17	4740518	0.63
chr17	4785900	0.72
chr17	4807982	0.99
chr17	4809552	0.98
chr17	4819082	1.0
chr17	4899386	0.01
chr17	4940486	0.45
chr17	4944469	0.48
chr17	5034749	0.59
chr17	5109870	0.84
chr17	5125819	0.08
chr17	5130090	0.53
chr17	5133442	1.0
chr17	5139675	0.27
chr17	5142395	0.8
chr17	5168124	0.98
chr17	5214837	0.11
chr17	5433165	0.95
chr17	5539587	0.97
chr17	6090506	0.98
chr17	6623606	0.47
chr17	6758225	0.99
chr17	6780892	0.93
chr17	6812830	1.0
chr17	6815833	0.99
chr17	6815963	1.0
chr17	7016909	0.98
chr17	7023659	0.97
chr17	7042764	0.81
chr17	7075358	0.96
chr17	7077995	0.97
chr17	7108890	0.8
chr17	7114116	0.26
chr17	7176979	0.96
chr17	7251589	0.0
chr17	7285909	0.99
chr17	7308115	0.59
chr17	7315329	0.57
chr17	7387376	0.98
chr17	7388970	0.99
chr17	7393142	0.89
chr17	7447502	0.99
chr17	7563792	0.99
chr17	7770556	0.98
chr17	7940095	0.98
chr17	8042492	0.77
chr17	8047744	0.98
chr17	8118485	0.19
chr17	8209952	0.49
chr17	8230562	0.98
chr17	8231816	0.72
chr17	8289986	0.01
chr17	8553954	0.05
chr17	8744078	0.99
chr17	8744526	1.0
chr17	9628821	0.98
chr17	10303499	0.95
chr17	10312758	0.96
chr17	10346800	0.99
chr17	10355148	0.9
chr17	10362117	1.0
chr17	10362359	0.99
chr17	10393002	1.0
chr17	10395131	0.98
chr17	10396552	1.0
chr17	10401045	0.99
chr17	10406980	0.97
chr17	10415680	0.95
chr17	10447218	1.0
chr17	10452415	0.99
chr17	10495948	0.97
chr17	10504808	0.99
chr17	10506011	0.99
chr17	10513820	0.99
chr17	10525450	0.87
chr17	10656089	0.92
chr17	11742314	0.99
chr17	11793665	0.87
chr17	11807730	0.98
chr17	11995681	0.34
chr17	12995813	0.99
chr17	13004988	0.97
chr17	13010612	0.84
chr17	13011784	0.69
chr17	13496820	1.0
chr17	14236571	0.86
chr17	15262427	0.93
chr17	15319076	0.03
chr17	15331006	0.99
chr17	15340026	0.81
chr17	15553684	0.93
chr17	15563436	1.0
chr17	15598655	0.93
chr17	15632508	1.0
chr17	15642818	0.0
chr17	15701241	0.02
chr17	15708248	0.99
chr17	15734928	0.83
chr17	15737483	0.95
chr17	15978043	0.68
chr17	16061400	0.94
chr17	16080065	1.0
chr17	16080066	1.0
chr17	16316679	0.87
chr17	17171867	0.01
chr17	17346803	0.98
chr17	17857856	0.03
chr17	18004362	1.0
chr17	18007023	0.07
chr17	18038880	1.0
chr17	18126866	0.98
chr17	18131467	0.8
chr17	18140833	0.05
chr17	18161448	0.95
chr17	18247054	0.97
chr17	18247167	0.99
chr17	18247850	0.99
chr17	18249409	0.01
chr17	18382640	0.98
chr17	18388290	0.97
chr17	18637862	0.88
chr17	18638702	0.89
chr17	18641997	0.29
chr17	18731236	1.0
chr17	18750009	0.99
chr17	18756155	0.96
chr17	19281954	0.89
chr17	19347782	0.99
chr17	19542391	0.99
chr17	19671957	0.37
chr17	19673276	0.24
chr17	19716432	0.98
chr17	19799577	0.0
chr17	20096630	0.99
chr17	20246072	0.87
chr17	20580009	0.99
chr17	21296084	0.84
chr17	21300873	0.99
chr17	21408641	0.99
chr17	27764145	1.0
chr17	27798699	0.99
chr17	28132619	0.95
chr17	28365120	0.16
chr17	28494390	0.98
chr17	28612688	0.94
chr17	28631478	0.99
chr17	28673370	1.0
chr17	28697735	1.0
chr17	28716902	0.98
chr17	28773792	0.02
chr17	28834328	0.9
chr17	28901303	0.97
chr17	29115663	1.0
chr17	29124652	0.67
chr17	29467217	0.99
chr17	29618972	1.0
chr17	29761148	0.78
chr17	29941839	0.31
chr17	30055966	0.99
chr17	30090419	0.91
chr17	30116865	0.99
chr17	31230927	0.0
chr17	31232072	0.97
chr17	31313977	0.0
chr17	31343137	0.0
chr17	31889284	0.99
chr17	32053264	0.74
chr17	32358643	0.0
chr17	32776031	0.14
chr17	32993006	0.04
chr17	34942795	1.0
chr17	34942908	0.99
chr17	35118500	0.85
chr17	35133170	0.97
chr17	35148262	0.98
chr17	35445694	0.72
chr17	35480196	0.72
chr17	35487725	0.99
chr17	35552729	0.39
chr17	35576183	0.47
chr17	35920185	0.74
chr17	35939559	0.41
chr17	35981344	1.0
chr17	36070559	0.99
chr17	36103982	0.98
chr17	36388324	0.99
chr17	36514549	0.01
chr17	36545099	0.99
chr17	37407497	0.64
chr17	37542567	0.99
chr17	38548710	0.95
chr17	38562825	0.99
chr17	38945137	0.99
chr17	39151361	0.99
chr17	39184866	0.01
chr17	39470877	0.95
chr17	39660979	1.0
chr17	39908216	0.74
chr17	39924221	0.79
chr17	39925167	0.27
chr17	39970649	0.96
chr17	39972614	0.92
chr17	39974898	0.98
chr17	39975016	0.08
chr17	39975998	0.99
chr17	40019784	1.0
chr17	40167496	0.94
chr17	40771237	0.99
chr17	40771671	0.66
chr17	40779628	0.99
chr17	40866618	0.23
chr17	40980911	1.0
chr17	41184558	0.17
chr17	41394847	1.0
chr17	41421365	1.0
chr17	41422777	1.0
chr17	41479346	1.0
chr17	41487172	0.99
chr17	41515470	0.99
chr17	41567231	0.99
chr17	41622948	0.97
chr17	41727296	0.74
chr17	41728200	1.0
chr17	41732396	0.05
chr17	41732694	0.66
chr17	41767581	0.99
chr17	41767582	1.0
chr17	41835201	0.97
chr17	41883121	1.0
chr17	41892230	
chr17	41909701	0.99
chr17	41913902	0.99
chr17	42107602	1.0
chr17	42110915	0.99
chr17	42329793	0.23
chr17	42565469	0.99
chr17	42666594	0.97
chr17	42669429	0.99
chr17	42720272	0.84
chr17	42724304	0.89
chr17	42787276	0.99
chr17	42793591	0.98
chr17	42796323	1.0
chr17	42833775	0.06
chr17	42833941	0.79
chr17	42849085	0.96
chr17	42856273	0.99
chr17	42950729	0.97
chr17	42998472	0.86
chr17	43012279	0.95
chr17	43025958	0.99
chr17	43027182	1.0
chr17	43082403	0.99
chr17	43124116	0.91
chr17	43125276	0.74
chr17	43212225	0.71
chr17	43832820	0.98
chr17	43884083	0.63
chr17	43941655	0.98
chr17	44007496	0.9
chr17	44014814	0.89
chr17	44091494	0.0
chr17	44092808	
chr17	44092809	
chr17	44145254	0.99
chr17	44171091	0.98
chr17	44187615	0.32
chr17	44190887	0.0
chr17	44218297	0.9
chr17	44317483	0.39
chr17	44351461	0.99
chr17	44378641	0.5
chr17	44381063	0.76
chr17	44708840	0.98
chr17	44741335	0.51
chr17	44901658	0.47
chr17	44934101	0.0
chr17	45135837	0.0
chr17	45142575	0.27
chr17	46579600	0.99
chr17	47324524	0.33
chr17	47370436	0.8
chr17	47370509	0.83
chr17	47395978	1.0
chr17	47402131	1.0
chr17	47404022	1.0
chr17	47592062	0.01
chr17	47697088	0.98
chr17	47827206	0.99
chr17	47839443	0.97
chr17	47915390	0.43
chr17	47981436	0.98
chr17	48113300	0.99
chr17	48785202	0.95
chr17	48787809	0.95
chr17	48799603	0.52
chr17	48799762	0.54
chr17	48937292	0.01
chr17	48961726	1.0
chr17	49159036	0.99
chr17	49622877	0.07
chr17	49636811	0.41
chr17	49716317	0.99
chr17	49792035	0.0
chr17	50078126	0.99
chr17	50107155	0.9
chr17	50370031	0.96
chr17	50375184	0.99
chr17	50380310	0.99
chr17	50392393	1.0
chr17	50426904	0.14
chr17	50483338	0.88
chr17	50521432	0.88
chr17	50547287	0.83
chr17	50548282	0.85
chr17	50551680	0.95
chr17	50551967	0.91
chr17	50673139	1.0
chr17	50743812	1.0
chr17	50864165	0.97
chr17	51154224	0.09
chr17	51166498	0.74
chr17	51166564	0.29
chr17	54939021	0.94
chr17	55047088	0.98
chr17	55078195	0.67
chr17	55722618	0.99
chr17	55771186	0.25
chr17	56153532	0.89
chr17	57086536	0.9
chr17	57866545	0.99
chr17	58087223	0.99
chr17	58193133	0.19
chr17	58195171	1.0
chr17	58210658	1.0
chr17	58214740	0.63
chr17	58270865	0.98
chr17	58363408	0.99
chr17	58569261	0.87
chr17	58573309	0.99
chr17	58601805	1.0
chr17	59079879	0.99
chr17	60070705	0.99
chr17	60214776	0.98
chr17	60429361	0.99
chr17	61003799	0.26
chr17	61401952	0.99
chr17	61927920	0.13
chr17	62391821	1.0
chr17	62391966	0.99
chr17	62395190	0.95
chr17	62746863	0.4
chr17	62759833	0.51
chr17	62804899	0.23
chr17	63411688	0.41
chr17	63479913	0.96
chr17	63483174	0.96
chr17	63533885	0.99
chr17	63545077	1.0
chr17	63545265	0.88
chr17	63545608	0.92
chr17	63699255	0.52
chr17	63752800	0.99
chr17	63872834	0.98
chr17	63873178	0.99
chr17	63881149	0.95
chr17	63896073	0.91
chr17	63896074	0.98
chr17	63910419	0.99
chr17	63911186	0.93
chr17	63929768	0.42
chr17	63961192	0.97
chr17	64005106	0.98
chr17	64045484	0.99
chr17	64055674	0.99
chr17	64465543	0.95
chr17	64466441	0.99
chr17	64506264	0.02
chr17	64506512	0.12
chr17	64506754	0.0
chr17	64862899	0.97
chr17	65750660	0.99
chr17	66223696	0.98
chr17	66226027	0.99
chr17	68247947	0.61
chr17	68248071	0.19
chr17	68248111	0.06
chr17	68248164	0.01
chr17	68254569	0.18
chr17	68283125	0.0
chr17	68306941	0.99
chr17	68307712	0.79
chr17	68385174	0.1
chr17	68428418	0.0
chr17	68868299	0.96
chr17	68876704	1.0
chr17	68877680	0.91
chr17	68884397	0.96
chr17	68922240	
chr17	68922241	
chr17	68984981	0.82
chr17	69035658	0.85
chr17	69083211	0.98
chr17	69102834	1.0
chr17	69129753	0.16
chr17	69141744	0.98
chr17	69154010	0.98
chr17	69155804	0.99
chr17	69174778	0.43
chr17	69185645	0.71
chr17	69190479	0.99
chr17	69193813	0.81
chr17	69216001	0.76
chr17	69222531	0.99
chr17	69227143	0.96
chr17	69249985	0.99
chr17	70100767	0.89
chr17	70130976	0.98
chr17	73084848	0.68
chr17	73233326	0.98
chr17	73242352	0.86
chr17	74314120	0.97
chr17	74346525	1.0
chr17	74352955	1.0
chr17	74370680	0.99
chr17	74584916	0.0
chr17	74584990	0.0
chr17	74698623	0.16
chr17	74795523	0.98
chr17	74838886	0.2
chr17	74852613	0.09
chr17	74872197	0.12
chr17	74963082	1.0
chr17	75019760	0.99
chr17	75630838	0.16
chr17	75640329	0.0
chr17	75699872	0.99
chr17	75840506	0.99
chr17	75846788	1.0
chr17	75904807	0.98
chr17	75948458	0.98
chr17	75979513	0.99
chr17	76079436	0.66
chr17	76079565	0.6
chr17	76079995	0.93
chr17	76081403	0.99
chr17	76278190	0.98
chr17	76279040	0.94
chr17	76311701	
chr17	76311702	
chr17	76500934	0.68
chr17	76531143	1.0
chr17	76573193	0.85
chr17	76578754	0.96
chr17	76683928	0.13
chr17	76727214	0.49
chr17	76743397	0.75
chr17	78077336	0.02
chr17	78117645	0.93
chr17	78164365	0.79
chr17	78165888	0.83
chr17	78191062	0.96
chr17	78204826	0.99
chr17	78239274	0.93
chr17	78454706	0.99
chr17	78692497	0.22
chr17	78998287	0.0
chr17	79044124	0.97
chr17	79083124	1.0
chr17	79084536	0.98
chr17	79235764	0.92
chr17	79733655	0.99
chr17	79741793	0.92
chr17	80036693	0.99
chr17	80179103	0.45
chr17	80179302	0.23
chr17	80187924	0.09
chr17	80195190	1.0
chr17	80298519	0.99
chr17	80351683	0.98
chr17	80375871	0.98
chr17	80415648	0.94
chr17	80422204	0.96
chr17	81057969	0.25
chr17	81116313	0.07
chr17	81195952	0.97
chr17	81209024	1.0
chr17	81231478	1.0
chr17	81232313	0.9
chr17	81512360	1.0
chr17	81653159	0.98
chr17	81914293	0.97
chr17	81936863	0.0
chr17	82015073	0.47
chr17	82016939	0.99
chr17	82019856	0.99
chr17	82029542	0.95
chr17	82036543	0.86
chr17	82059947	0.99
chr17	82201954	0.99
chr17	82228530	0.58
chr17	82405323	0.98
chr17	82406484	0.83
chr17	82409367	0.96
chr17	82411454	0.96
chr17	82450532	0.1
chr17	82483305	0.21
chr17	82484812	0.99
chr17	82568202	0.97
chr17	82571872	0.92
chr17	82582935	0.97
chr17	82584189	0.96
chr17	82586203	
chr17	82664558	0.98
chr17	82740855	0.91
chr17	82944050	0.0
chr17	82957251	0.98
chr17	83014453	1.0
chr18	613283	0.01
chr18	627530	0.96
chr18	678695	0.64
chr18	683244	1.0
chr18	2544194	0.98
chr18	2924548	0.01
chr18	2928590	0.97
chr18	3154946	0.78
chr18	3262786	0.27
chr18	3450321	0.11
chr18	3453858	0.02
chr18	5295650	0.5
chr18	5540338	0.11
chr18	6834540	0.78
chr18	6955351	0.97
chr18	6993753	0.99
chr18	8378415	1.0
chr18	8636358	0.0
chr18	9945059	0.42
chr18	10681659	0.96
chr18	12097639	1.0
chr18	12124322	0.97
chr18	12254957	0.43
chr18	12320535	0.17
chr18	12486001	0.75
chr18	12948234	0.02
chr18	13030463	0.9
chr18	13612065	0.47
chr18	14513786	0.99
chr18	14513787	
chr18	14513788	
chr18	14779958	0.88
chr18	14787102	0.88
chr18	14791399	0.99
chr18	14797690	0.82
chr18	14799221	0.98
chr18	14822678	0.01
chr18	21440267	0.99
chr18	21536041	1.0
chr18	21791373	0.99
chr18	21857244	1.0
chr18	23237140	0.98
chr18	23477177	0.89
chr18	23751090	0.94
chr18	23928121	0.99
chr18	25062742	0.24
chr18	26292229	0.19
chr18	30996790	0.97
chr18	30997050	0.91
chr18	31024495	1.0
chr18	31068298	0.46
chr18	31465459	0.99
chr18	31474119	1.0
chr18	31521244	1.0
chr18	31591972	0.99
chr18	31625763	0.22
chr18	32217966	0.99
chr18	33348888	0.88
chr18	33348976	1.0
chr18	33440471	0.02
chr18	34023438	0.56
chr18	34104161	0.99
chr18	34820790	1.0
chr18	35254403	0.03
chr18	35263659	0.84
chr18	35975096	0.99
chr18	36139417	0.47
chr18	36268531	0.85
chr18	36835233	0.99
chr18	36885673	0.19
chr18	37173083	0.94
chr18	42043732	0.97
chr18	45641344	0.93
chr18	45734273	0.93
chr18	45837898	0.81
chr18	45837897	0.81
chr18	45865760	0.99
chr18	46098281	0.0
chr18	46123365	1.0
chr18	46522311	0.99
chr18	46556689	0.01
chr18	46560082	0.99
chr18	46836518	0.98
chr18	46893430	0.42
chr18	46894810	0.08
chr18	46903526	0.4
chr18	47136301	0.85
chr18	47136451	0.99
chr18	48087668	0.1
chr18	49487206	0.99
chr18	49492273	0.63
chr18	49492274	0.63
chr18	50279874	0.6
chr18	50375818	1.0
chr18	50825307	0.97
chr18	50917509	0.98
chr18	51030625	0.44
chr18	51058245	1.0
chr18	51058457	1.0
chr18	51067189	0.38
chr18	53486959	0.83
chr18	54331741	1.0
chr18	54356439	0.92
chr18	54358772	0.01
chr18	54360526	0.99
chr18	54362922	0.91
chr18	58389193	0.0
chr18	58534833	0.5
chr18	58696364	0.99
chr18	59480239	0.98
chr18	61892794	0.97
chr18	63318954	0.55
chr18	63558351	0.99
chr18	63660799	0.99
chr18	63661051	1.0
chr18	63661845	0.97
chr18	63712695	0.98
chr18	63722993	0.99
chr18	63775717	0.08
chr18	63793279	1.0
chr18	63798603	1.0
chr18	65859706	1.0
chr18	66505304	0.69
chr18	68710019	0.99
chr18	68897429	0.76
chr18	69599500	0.92
chr18	70205627	0.9
chr18	72543531	0.0
chr18	72756149	0.0
chr18	72865572	0.01
chr18	74342129	0.96
chr18	74343703	0.72
chr18	74576868	0.91
chr18	76928107	0.97
chr18	79110507	0.96
chr18	79113355	1.0
chr18	79193264	0.99
chr18	79977597	1.0
chr19	371204	0.95
chr19	617325	0.98
chr19	617656	0.88
chr19	686923	0.87
chr19	692004	0.99
chr19	727006	1.0
chr19	727007	0.98
chr19	727562	0.99
chr19	846145	0.99
chr19	1000864	0.99
chr19	1008139	0.99
chr19	1036066	0.73
chr19	1074409	0.02
chr19	1084347	0.01
chr19	1116928	0.23
chr19	1122656	1.0
chr19	1251838	1.0
chr19	1275831	1.0
chr19	1462179	0.01
chr19	1475259	0.99
chr19	1526484	0.99
chr19	1529825	0.74
chr19	1531737	0.99
chr19	1534043	0.5
chr19	1632037	0.97
chr19	1650289	0.89
chr19	1785710	0.96
chr19	1791969	0.79
chr19	1796881	0.98
chr19	2042036	1.0
chr19	2042872	0.0
chr19	2396538	0.56
chr19	2476403	0.95
chr19	2810770	0.99
chr19	2876092	0.98
chr19	2977612	0.86
chr19	3019282	0.98
chr19	3028805	0.01
chr19	3094788	1.0
chr19	3110334	0.99
chr19	3113485	0.99
chr19	3115073	0.82
chr19	3115074	0.8
chr19	3119361	0.81
chr19	3203754	1.0
chr19	3543543	0.92
chr19	3543542	0.92
chr19	3546073	0.99
chr19	3586682	0.96
chr19	3651825	1.0
chr19	3728423	0.97
chr19	3734436	0.98
chr19	3735936	0.96
chr19	3736164	1.0
chr19	3746774	1.0
chr19	3772011	0.03
chr19	3937224	0.49
chr19	3938601	0.97
chr19	3980980	0.18
chr19	4007789	0.99
chr19	4327228	0.99
chr19	4333689	0.17
chr19	4338651	0.99
chr19	4508767	0.99
chr19	4664938	1.0
chr19	4668646	0.97
chr19	4670160	0.99
chr19	4716154	0.03
chr19	4722194	0.53
chr19	5131546	0.92
chr19	5260803	0.88
chr19	5720218	0.01
chr19	5729946	0.98
chr19	5754246	0.98
chr19	5771073	0.99
chr19	5786847	0.99
chr19	5846554	0.13
chr19	5846555	0.16
chr19	6183037	0.96
chr19	6375701	0.99
chr19	6381617	0.93
chr19	6426563	0.98
chr19	6442160	0.96
chr19	6442161	0.96
chr19	6456533	0.0
chr19	6532817	0.99
chr19	6736988	0.51
chr19	6763817	0.91
chr19	7128851	1.0
chr19	7380995	0.99
chr19	7470124	0.99
chr19	7669325	0.13
chr19	7670175	0.35
chr19	7670176	0.31
chr19	7680879	0.91
chr19	7696916	1.0
chr19	7702017	0.99
chr19	7746533	0.2
chr19	7763391	0.34
chr19	7918130	0.96
chr19	7918131	0.9
chr19	7931190	0.0
chr19	7934239	0.98
chr19	8094567	0.99
chr19	8102723	0.99
chr19	8116673	0.98
chr19	8131290	0.99
chr19	8135960	0.99
chr19	8145842	0.31
chr19	8147313	0.66
chr19	8255880	0.0
chr19	8256234	0.0
chr19	8257986	0.0
chr19	8322923	0.85
chr19	8325097	0.99
chr19	8371152	0.01
chr19	8514043	0.99
chr19	8555658	0.71
chr19	8813224	0.0
chr19	8824419	0.96
chr19	8891999	0.0
chr19	8897670	1.0
chr19	8908597	0.89
chr19	8910509	0.98
chr19	8910510	0.98
chr19	9156749	0.61
chr19	9337794	0.46
chr19	9338018	0.49
chr19	9378345	0.91
chr19	9433691	0.24
chr19	9435107	1.0
chr19	9435194	0.11
chr19	9530984	1.0
chr19	9618180	0.99
chr19	9765036	0.97
chr19	9969348	0.99
chr19	9992825	0.91
chr19	10110121	0.99
chr19	10110615	0.99
chr19	10110867	0.97
chr19	10111741	0.63
chr19	10338950	0.83
chr19	10362182	0.96
chr19	10503240	0.97
chr19	10557971	0.99
chr19	10558241	0.99
chr19	10581264	0.99
chr19	10643022	0.56
chr19	10707301	0.99
chr19	10713116	1.0
chr19	11178473	0.08
chr19	11195562	0.49
chr19	11215472	0.08
chr19	11222249	0.99
chr19	11241443	0.0
