MIM Number,Approved Gene Symbol,Phenotypes,inheritance,recessive,dominant
182307,SLC9A3,"Diarrhea 8, secretory sodium, congenital, 616868 (3), Autosomal recessive",Autosomal recessive,1,0
604507,TRIP13,"Oocyte/zygote/embryo maturation arrest 9, 619011 (3), Autosomal recessive; Mosaic variegated aneuploidy syndrome 3, 617598 (3), Autosomal recessive",Autosomal recessive,1,0
608893,SLC6A19,"Hartnup disorder, 234500 (3), Autosomal recessive",Autosomal recessive,1,0
187270,TERT,"Dyskeratosis congenita, autosomal dominant 2, 613989 (3), Autosomal dominant, Autosomal recessive; Dyskeratosis congenita, autosomal recessive 4, 613989 (3), Autosomal dominant, Autosomal recessive; Pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related, 1, 614742 (3), Autosomal dominant; {Melanoma, cutaneous malignant, 9}, 615134 (3), Autosomal dominant; {Leukemia, acute myeloid}, 601626 (3), Autosomal dominant, Somatic mutation","Autosomal recessive, Autosomal dominant",1,1
126455,SLC6A3,"Parkinsonism-dystonia, infantile, 1, 613135 (3), Autosomal recessive; {Nicotine dependence, protection against}, 188890 (3)",Autosomal recessive,1,0
603848,NDUFS6,"Mitochondrial complex I deficiency, nuclear type 9, 618232 (3), Autosomal recessive",Autosomal recessive,1,0
610916,NSUN2,"Intellectual developmental disorder, autosomal recessive 5, 611091 (3), Autosomal recessive",Autosomal recessive,1,0
602568,MTRR,"Homocystinuria-megaloblastic anemia, cbl E type, 236270 (3), Autosomal recessive; {Neural tube defects, folate-sensitive, susceptibility to}, 601634 (3), Autosomal recessive",Autosomal recessive,1,0
610150,CCT5,"Neuropathy, hereditary sensory, with spastic paraplegia, 256840 (3), Autosomal recessive",Autosomal recessive,1,0
613297,MARCHF6,"Epilepsy, familial adult myoclonic, 3, 613608 (3), Autosomal dominant",Autosomal dominant,0,1
603335,DNAH5,"Ciliary dyskinesia, primary, 3, with or without situs inversus, 608644 (3), Autosomal recessive",Autosomal recessive,1,0
601893,TRIO,"Intellectual developmental disorder, autosomal dominant 44, with microcephaly, 617061 (3), Autosomal dominant; Intellectual developmental disorder, autosomal dominant 63, with macrocephaly, 618825 (3), Autosomal dominant",Autosomal dominant,0,1
615712,OTULIN,"Autoinflammation, panniculitis, and dermatosis syndrome, 617099 (3), Autosomal recessive; {Immunodeficiency 107, susceptibility to invasive staphylococcus aureus infection}, 619986 (3), Autosomal dominant","Autosomal recessive, Autosomal dominant",1,1
605145,ANKH,"Chondrocalcinosis 2, 118600 (3), Autosomal dominant; Craniometaphyseal dysplasia, 123000 (3), Autosomal dominant",Autosomal dominant,0,1
613114,RETREG1,"Neuropathy, hereditary sensory and autonomic, type IIB, 613115 (3), Autosomal recessive",Autosomal recessive,1,0
108962,NPR3,"Boudin-Mortier syndrome, 619543 (3), Autosomal recessive",Autosomal recessive,1,0
187790,TARS1,"Trichothiodystrophy 7, nonphotosensitive, 618546 (3), Autosomal recessive",Autosomal recessive,1,0
606202,SLC45A2,"[Skin/hair/eye pigmentation 5, dark/light eyes], 227240 (3), Autosomal recessive; [Skin/hair/eye pigmentation 5, black/nonblack hair], 227240 (3), Autosomal recessive; Albinism, oculocutaneous, type IV, 606574 (3), Autosomal recessive; [Skin/hair/eye pigmentation 5, dark/fair skin], 227240 (3), Autosomal recessive",Autosomal recessive,1,0
604489,AMACR,"Alpha-methylacyl-CoA racemase deficiency, 614307 (3), Autosomal recessive; Bile acid synthesis defect, congenital, 4, 214950 (3), Autosomal recessive",Autosomal recessive,1,0
617048,DNAJC21,"Bone marrow failure syndrome 3, 617052 (3), Autosomal recessive",Autosomal recessive,1,0
612471,AGXT2,"[Beta-aminoisobutyric acid, urinary excretion of], 210100 (3), Autosomal recessive",Autosomal recessive,1,0
176761,PRLR,"Multiple fibroadenomas of the breast, 615554 (3), Autosomal dominant; Hyperprolactinemia, 615555 (3), Autosomal dominant, Autosomal recessive","Autosomal recessive, Autosomal dominant",1,1
610172,SPEF2,"Spermatogenic failure 43, 618751 (3), Autosomal recessive",Autosomal recessive,1,0
146661,IL7R,"Immunodeficiency 104, severe combined, 608971 (3), Autosomal recessive",Autosomal recessive,1,0
619490,LMBRD2,"Developmental delay with variable neurologic and brain abnormalities, 619694 (3), Autosomal dominant",Autosomal dominant,0,1
615787,NADK2,"2,4-dienoyl-CoA reductase deficiency, 616034 (3), Autosomal recessive",Autosomal recessive,1,0
600111,SLC1A3,"Episodic ataxia, type 6, 612656 (3), Autosomal dominant",Autosomal dominant,0,1
608667,NIPBL,"Cornelia de Lange syndrome 1, 122470 (3), Autosomal dominant",Autosomal dominant,0,1
614571,CPLANE1,"Orofaciodigital syndrome VI, 277170 (3), Autosomal recessive; Joubert syndrome 17, 614615 (3), Autosomal recessive",Autosomal recessive,1,0
606694,NUP155,"?Atrial fibrillation 15, 615770 (3), Autosomal recessive",Autosomal recessive,1,0
600837,GDNF,"{Hirschsprung disease, susceptibility to, 3}, 613711 (3), Autosomal dominant",Autosomal dominant,0,1
151443,LIFR,"Stuve-Wiedemann syndrome/Schwartz-Jampel type 2 syndrome, 601559 (3), Autosomal recessive",Autosomal recessive,1,0
601743,OSMR,"Amyloidosis, primary localized cutaneous, 1, 105250 (3), Autosomal dominant",Autosomal dominant,0,1
602731,FYB1,"Thrombocytopenia 3, 273900 (3), Autosomal recessive",Autosomal recessive,1,0
120940,C9,"C9 deficiency, 613825 (3); {Macular degeneration, age-related, 15, susceptibility to}, 615591 (3), Autosomal dominant",Autosomal dominant,0,1
217050,C6,"C6 deficiency, 612446 (3), Autosomal recessive",Autosomal recessive,1,0
601424,OXCT1,"Succinyl CoA:3-oxoacid CoA transferase deficiency, 245050 (3), Autosomal recessive",Autosomal recessive,1,0
600946,GHR,"Laron dwarfism, 262500 (3), Autosomal recessive; Increased responsiveness to growth hormone, 604271 (3), Autosomal dominant; Growth hormone insensitivity, partial, 604271 (3), Autosomal dominant; {Hypercholesterolemia, familial, modifier of}, 143890 (3), Autosomal dominant, Autosomal recessive","Autosomal recessive, Autosomal dominant",1,1
607878,NNT,"Glucocorticoid deficiency 4, with or without mineralocorticoid deficiency, 614736 (3), Autosomal recessive",Autosomal recessive,1,0
602115,FGF10,"LADD syndrome 3, 620193 (3), Autosomal dominant; Aplasia of lacrimal and salivary glands, 180920 (3), Autosomal dominant",Autosomal dominant,0,1
602780,HCN1,"Developmental and epileptic encephalopathy 24, 615871 (3), Autosomal dominant; Generalized epilepsy with febrile seizures plus, type 10, 618482 (3), Autosomal dominant",Autosomal dominant,0,1
603708,MOCS2,"Molybdenum cofactor deficiency B, 252160 (3), Autosomal recessive",Autosomal recessive,1,0
602694,NDUFS4,"Mitochondrial complex I deficiency, nuclear type 1, 252010 (3), Autosomal recessive",Autosomal recessive,1,0
604624,HSPB3,"?Neuronopathy, distal hereditary motor, autosomal dominant 4, 613376 (3), Autosomal dominant",Autosomal dominant,0,1
614086,MCIDAS,"Ciliary dyskinesia, primary, 42, 618695 (3), Autosomal recessive",Autosomal recessive,1,0
607752,CCNO,"Ciliary dyskinesia, primary, 29, 615872 (3), Autosomal recessive",Autosomal recessive,1,0
609510,IL31RA,"?Amyloidosis, primary localized cutaneous, 2, 613955 (3), Autosomal dominant",Autosomal dominant,0,1
600694,IL6ST,"Hyper-IgE syndrome 4A, autosomal dominant, with recurrent infections, 619752 (3), Autosomal dominant; Stuve-Wiedemann syndrome 2, 619751 (3), Autosomal recessive; Hyper-IgE syndrome 4B, autosomal recessive, with recurrent infections, 618523 (3), Autosomal recessive; ?Immunodeficiency 94 with autoinflammation and dysmorphic facies, 619750 (3), Autosomal dominant","Autosomal recessive, Autosomal dominant",1,1
600982,MAP3K1,"46XY sex reversal 6, 613762 (3), Autosomal dominant",Autosomal dominant,0,1
600129,PDE4D,"Acrodysostosis 2, with or without hormone resistance, 614613 (3), Autosomal dominant",Autosomal dominant,0,1
609412,ERCC8,"UV-sensitive syndrome 2, 614621 (3), Autosomal recessive; Cockayne syndrome, type A, 216400 (3), Autosomal recessive",Autosomal recessive,1,0
609653,NDUFAF2,"Mitochondrial complex I deficiency, nuclear type 10, 618233 (3), Autosomal recessive",Autosomal recessive,1,0
615951,ZSWIM6,"Neurodevelopmental disorder with movement abnormalities, abnormal gait, and autistic features, 617865 (3), Autosomal dominant; Acromelic frontonasal dysostosis, 603671 (3), Autosomal dominant",Autosomal dominant,0,1
602591,KIF2A,"Cortical dysplasia, complex, with other brain malformations 3, 615411 (3), Autosomal dominant",Autosomal dominant,0,1
109760,HTR1A,"?Periodic fever, menstrual cycle dependent, 614674 (3), Autosomal dominant",Autosomal dominant,0,1
617170,CWC27,"Retinitis pigmentosa with or without skeletal anomalies, 250410 (3), Autosomal recessive",Autosomal recessive,1,0
171833,PIK3R1,"Immunodeficiency 36, 616005 (3), Autosomal dominant; ?Agammaglobulinemia 7, autosomal recessive, 615214 (3), Autosomal recessive; SHORT syndrome, 269880 (3), Autosomal dominant","Autosomal recessive, Autosomal dominant",1,1
610572,MARVELD2,"Deafness, autosomal recessive 49, 610153 (3), Autosomal recessive",Autosomal recessive,1,0
602876,OCLN,"Pseudo-TORCH syndrome 1, 251290 (3), Autosomal recessive",Autosomal recessive,1,0
601627,SMN2,"{Spinal muscular atrophy, type III, modifier of}, 253400 (3), Autosomal recessive",Autosomal recessive,1,0
600354,SMN1,"Spinal muscular atrophy-2, 253550 (3), Autosomal recessive; Spinal muscular atrophy-4, 271150 (3), Autosomal recessive; Spinal muscular atrophy-3, 253400 (3), Autosomal recessive; Spinal muscular atrophy-1, 253300 (3), Autosomal recessive",Autosomal recessive,1,0
607012,BDP1,"?Deafness, autosomal recessive 112, 618257 (3), Autosomal recessive",Autosomal recessive,1,0
609014,MCCC2,"3-Methylcrotonyl-CoA carboxylase 2 deficiency, 210210 (3), Autosomal recessive",Autosomal recessive,1,0
602606,CARTPT,"{?Obesity, susceptibility to}, 601665 (3), Autosomal dominant, Multifactorial, Autosomal recessive","Autosomal recessive, Autosomal dominant",1,1
157129,MAP1B,"?Deafness, autosomal dominant 83, 619808 (3), Autosomal dominant; Periventricular nodular heterotopia 9, 618918 (3), Autosomal dominant",Autosomal dominant,0,1
606873,HEXB,"Sandhoff disease, infantile, juvenile, and adult forms, 268800 (3), Autosomal recessive",Autosomal recessive,1,0
606544,GFM2,"Combined oxidative phosphorylation deficiency 39, 618397 (3), Autosomal recessive",Autosomal recessive,1,0
142910,HMGCR,"Muscular dystrophy, limb-girdle, autosomal recessive 28, 620375 (3), Autosomal recessive; [Statins, response to], 620410 (3); [Low density lipoprotein cholesterol level QTL 3], 620410 (3)",Autosomal recessive,1,0
604677,CERT1,"Intellectual developmental disorder, autosomal dominant 34, 616351 (3), Autosomal dominant",Autosomal dominant,0,1
603390,PDE8B,"Pigmented nodular adrenocortical disease, primary, 3, 614190 (3); Striatal degeneration, autosomal dominant, 609161 (3), Autosomal dominant",Autosomal dominant,0,1
603401,AP3B1,"Hermansky-Pudlak syndrome 2, 608233 (3), Autosomal recessive",Autosomal recessive,1,0
611542,ARSB,"Mucopolysaccharidosis type VI (Maroteaux-Lamy), 253200 (3), Autosomal recessive",Autosomal recessive,1,0
605849,DMGDH,"Dimethylglycine dehydrogenase deficiency, 605850 (3), Autosomal recessive",Autosomal recessive,1,0
126060,DHFR,"Megaloblastic anemia due to dihydrofolate reductase deficiency, 613839 (3), Autosomal recessive",Autosomal recessive,1,0
600887,MSH3,"Familial adenomatous polyposis 4, 617100 (3), Autosomal recessive; Endometrial carcinoma, somatic, 608089 (3)",Autosomal recessive,1,0
603683,RPS23,"Brachycephaly, trichomegaly, and developmental delay, 617412 (3), Autosomal dominant",Autosomal dominant,0,1
194363,XRCC4,"Short stature, microcephaly, and endocrine dysfunction, 616541 (3), Autosomal recessive",Autosomal recessive,1,0
118661,VCAN,"Wagner syndrome 1, 143200 (3), Autosomal dominant",Autosomal dominant,0,1
139150,RASA1,"Capillary malformation-arteriovenous malformation 1, 608354 (3), Autosomal dominant; Basal cell carcinoma, somatic, 605462 (3)",Autosomal dominant,0,1
600662,MEF2C,"Chromosome 5q14.3 deletion syndrome, 613443 (4), Autosomal dominant; Neurodevelopmental disorder with hypotonia, stereotypic hand movements, and impaired language, 613443 (3), Autosomal dominant",Autosomal dominant,0,1
602851,ADGRV1,"Usher syndrome, type 2C, 605472 (3), Digenic dominant, Autosomal recessive; Usher syndrome, type 2C, GPR98/PDZD7 digenic, 605472 (3), Digenic dominant, Autosomal recessive; ?Febrile seizures, familial, 4, 604352 (3), Autosomal dominant","Autosomal recessive, Autosomal dominant",1,1
132890,NR2F1,"Bosch-Boonstra-Schaaf optic atrophy syndrome, 615722 (3), Autosomal dominant",Autosomal dominant,0,1
617266,KIAA0825,"Polydactyly, postaxial, type A10, 618498 (3), Autosomal recessive",Autosomal recessive,1,0
614589,SKIC3,"Trichohepatoenteric syndrome 1, 222470 (3), Autosomal recessive",Autosomal recessive,1,0
610011,ARSK,"Mucopolysaccharidosis, type X, 619698 (3), Autosomal recessive",Autosomal recessive,1,0
114090,CAST,"Peeling skin with leukonychia, acral punctate keratoses, cheilitis, and knuckle pads, 616295 (3), Autosomal recessive",Autosomal recessive,1,0
162150,PCSK1,"{Obesity, susceptibility to, BMIQ12}, 612362 (3); Endocrinopathy due to proprotein convertase 1/3 deficiency, 600955 (3), Autosomal recessive",Autosomal recessive,1,0
602118,CHD1,"Pilarowski-Bjornsson syndrome, 617682 (3), Autosomal dominant",Autosomal dominant,0,1
611648,PPIP5K2,"Deafness, autosomal recessive 100, 618422 (3), Autosomal recessive",Autosomal recessive,1,0
610826,SLC25A46,"Neuropathy, hereditary motor and sensory, type VIB, 616505 (3), Autosomal recessive; Pontocerebellar hypoplasia, type 1E, 619303 (3), Autosomal recessive",Autosomal recessive,1,0
611731,APC,"Colorectal cancer, somatic, 114500 (3); Brain tumor-polyposis syndrome 2, 175100 (3), Autosomal dominant; Desmoid disease, hereditary, 135290 (3), Autosomal dominant; Adenoma, periampullary, somatic, 175100 (3); Hepatoblastoma, somatic, 114550 (3); Gastric cancer, somatic, 613659 (3); Gastric adenocarcinoma and proximal polyposis of the stomach, 619182 (3), Autosomal dominant; Gardner syndrome, 175100 (3), Autosomal dominant; Adenomatous polyposis coli, 175100 (3), Autosomal dominant",Autosomal dominant,0,1
605879,KCNN2,"?Dystonia 34, myoclonic, 619724 (3), Autosomal dominant; Neurodevelopmental disorder with or without variable movement or behavioral abnormalities, 619725 (3), Autosomal dominant",Autosomal dominant,0,1
609317,TRIM36,"?Anencephaly 1, 206500 (3), Autosomal recessive",Autosomal recessive,1,0
601860,HSD17B4,"D-bifunctional protein deficiency, 261515 (3), Autosomal recessive; Perrault syndrome 1, 233400 (3), Autosomal recessive",Autosomal recessive,1,0
153455,LOX,"Aortic aneurysm, familial thoracic 10, 617168 (3), Autosomal dominant",Autosomal dominant,0,1
616982,PRDM6,"Patent ductus arteriosus 3, 617039 (3), Autosomal dominant",Autosomal dominant,0,1
613446,CEP120,"Short-rib thoracic dysplasia 13 with or without polydactyly, 616300 (3), Autosomal recessive; Joubert syndrome 31, 617761 (3), Autosomal recessive",Autosomal recessive,1,0
107323,ALDH7A1,"Epilepsy, early-onset, 4, vitamin B6-dependent, 266100 (3), Autosomal recessive",Autosomal recessive,1,0
150340,LMNB1,"Leukodystrophy, adult-onset, autosomal dominant, 169500 (3), Autosomal dominant; Microcephaly 26, primary, autosomal dominant, 619179 (3), Autosomal dominant",Autosomal dominant,0,1
612453,MEGF10,"Congenital myopathy 10A, severe variant, 614399 (3), Autosomal recessive; Congenital myopathy 10B, mild variant, 620249 (3), Autosomal recessive",Autosomal recessive,1,0
600840,SLC12A2,"Kilquist syndrome, 619080 (3), Autosomal recessive; Delpire-McNeill syndrome, 619083 (3), Autosomal dominant; Deafness, autosomal dominant 78, 619081 (3), Autosomal dominant","Autosomal recessive, Autosomal dominant",1,1
612570,FBN2,"Macular degeneration, early-onset, 616118 (3), Autosomal dominant; Contractural arachnodactyly, congenital, 121050 (3), Autosomal dominant",Autosomal dominant,0,1
607513,ADAMTS19,"Cardiac valvular dysplasia 2, 620067 (3), Autosomal recessive",Autosomal recessive,1,0
620215,MINAR2,"Deafness, autosomal recessive 120, 620238 (3), Autosomal recessive",Autosomal recessive,1,0
601314,HINT1,"Neuromyotonia and axonal neuropathy, autosomal recessive, 137200 (3), Autosomal recessive",Autosomal recessive,1,0
615831,LYRM7,"Mitochondrial complex III deficiency, nuclear type 8, 615838 (3), Autosomal recessive",Autosomal recessive,1,0
610594,FNIP1,"Immunodeficiency 93 and hypertrophic cardiomyopathy, 619705 (3), Autosomal recessive",Autosomal recessive,1,0
600608,P4HA2,"Myopia 25, autosomal dominant, 617238 (3), Autosomal dominant",Autosomal dominant,0,1
603422,PDLIM4,"{Osteoporosis, susceptibility to}, 166710 (3), Autosomal dominant",Autosomal dominant,0,1
603377,SLC22A5,"Carnitine deficiency, systemic primary, 212140 (3), Autosomal recessive",Autosomal recessive,1,0
147575,IRF1,"Nonsmall cell lung cancer, somatic, 211980 (3); Gastric cancer, somatic, 613659 (3); Immunodeficiency 117, mycobacteriosis, autosomal recessive, 620668 (3), Autosomal recessive",Autosomal recessive,1,0
604040,RAD50,"Nijmegen breakage syndrome-like disorder, 613078 (3), Autosomal recessive",Autosomal recessive,1,0
147683,IL13,"{Asthma, susceptibility to}, 600807 (3), Autosomal dominant; {Allergic rhinitis, susceptibility to}, 607154 (3)",Autosomal dominant,0,1
601918,GDF9,"?Premature ovarian failure 14, 618014 (3), Autosomal recessive",Autosomal recessive,1,0
612080,UQCRQ,"Mitochondrial complex III deficiency, nuclear type 4, 615159 (3), Autosomal recessive",Autosomal recessive,1,0
604417,AFF4,"CHOPS syndrome, 616368 (3), Autosomal dominant",Autosomal dominant,0,1
176915,PPP2CA,"Houge-Janssens syndrome 3, 618354 (3), Autosomal dominant",Autosomal dominant,0,1
607690,SAR1B,"Chylomicron retention disease, 246700 (3), Autosomal recessive",Autosomal recessive,1,0
601118,CAMLG,"?Congenital disorder of glycosylation, type IIz, 620201 (3), Autosomal recessive",Autosomal recessive,1,0
617778,TXNDC15,"Meckel syndrome 14, 619879 (3), Autosomal recessive",Autosomal recessive,1,0
602149,PITX1,"Clubfoot, congenital, with or without deficiency of long bones and/or mirror-image polydactyly, 119800 (3), Autosomal dominant",Autosomal dominant,0,1
601726,NEUROG1,"Cranial dysinnervation disorder, congenital, with absent corneal reflex and developmental delay, 620469 (3), Autosomal recessive",Autosomal recessive,1,0
601692,TGFBI,"Corneal dystrophy, Avellino type, 607541 (3), Autosomal dominant; Corneal dystrophy, Reis-Bucklers type, 608470 (3), Autosomal dominant; Corneal dystrophy, Thiel-Behnke type, 602082 (3), Autosomal dominant; Corneal dystrophy, Groenouw type I, 121900 (3), Autosomal dominant; Corneal dystrophy, epithelial basement membrane, 121820 (3), Autosomal dominant; Corneal dystrophy, lattice type I, 122200 (3), Autosomal dominant; Corneal dystrophy, lattice type IIIA, 608471 (3), Autosomal dominant",Autosomal dominant,0,1
605775,KLHL3,"Pseudohypoaldosteronism, type IID, 614495 (3), Autosomal dominant, Autosomal recessive","Autosomal recessive, Autosomal dominant",1,1
604103,MYOT,"Myopathy, myofibrillar, 3, 609200 (3), Autosomal dominant",Autosomal dominant,0,1
603575,NME5,"Ciliary dyskinesia, primary, 48, without situs inversus, 620032 (3), Autosomal recessive",Autosomal recessive,1,0
605664,KIF20A,"?Cardiomyopathy, familial restrictive, 6, 619433 (3), Autosomal recessive",Autosomal recessive,1,0
609373,KDM3B,"Diets-Jongmans syndrome, 618846 (3), Autosomal dominant",Autosomal dominant,0,1
609347,REEP2,"Spastic paraplegia 72A, autosomal dominant, 615625 (3), Autosomal dominant; ?Spastic paraplegia 72B, autosomal recessive, 620606 (3), Autosomal recessive","Autosomal recessive, Autosomal dominant",1,1
600548,HSPA9,"Even-plus syndrome, 616854 (3), Autosomal recessive; Anemia, sideroblastic, 4, 182170 (3), Autosomal dominant","Autosomal recessive, Autosomal dominant",1,1
116805,CTNNA1,"Macular dystrophy, patterned, 2, 608970 (3), Autosomal dominant",Autosomal dominant,0,1
608005,SIL1,"Marinesco-Sjogren syndrome, 248800 (3), Autosomal recessive",Autosomal recessive,1,0
164015,MATR3,"Amyotrophic lateral sclerosis 21, 606070 (3), Autosomal dominant",Autosomal dominant,0,1
612374,STING1,"STING-associated vasculopathy, infantile-onset, 615934 (3), Autosomal dominant",Autosomal dominant,0,1
600473,PURA,"Neurodevelopmental disorder with neonatal respiratory insufficiency, hypotonia, and feeding difficulties, 616158 (3), Autosomal dominant",Autosomal dominant,0,1
602137,NDUFA2,"Mitochondrial complex I deficiency, nuclear type 13, 618235 (3), Autosomal recessive",Autosomal recessive,1,0
142810,HARS1,"Charcot-Marie-Tooth disease, axonal, type 2W, 616625 (3), Autosomal dominant; Usher syndrome type 3B, 614504 (3), Autosomal recessive","Autosomal recessive, Autosomal dominant",1,1
600783,HARS2,"Perrault syndrome 2, 614926 (3), Autosomal recessive",Autosomal recessive,1,0
606305,PCDHGC4,"Neurodevelopmental disorder with poor growth and skeletal anomalies, 619880 (3), Autosomal recessive",Autosomal recessive,1,0
602121,DIAPH1,"Deafness, autosomal dominant 1, with or without thrombocytopenia, 124900 (3), Autosomal dominant; Seizures, cortical blindness, microcephaly syndrome, 616632 (3), Autosomal recessive","Autosomal recessive, Autosomal dominant",1,1
605622,PCDH12,"Diencephalic-mesencephalic junction dysplasia syndrome 1, 251280 (3), Autosomal recessive",Autosomal recessive,1,0
607984,SPRY4,"Hypogonadotropic hypogonadism 17 with or without anosmia, 615266 (3), Autosomal dominant",Autosomal dominant,0,1
138040,NR3C1,"Glucocorticoid resistance, 615962 (3), Autosomal dominant",Autosomal dominant,0,1
611483,YIPF5,"Microcephaly, epilepsy, and diabetes syndrome 2, 619278 (3), Autosomal recessive",Autosomal recessive,1,0
615762,GRXCR2,"?Deafness, autosomal recessive 101, 615837 (3), Autosomal recessive",Autosomal recessive,1,0
151350,LARS1,"?Infantile liver failure syndrome 1, 615438 (3), Autosomal recessive",Autosomal recessive,1,0
602460,POU4F3,"Deafness, autosomal dominant 15, 602459 (3), Autosomal dominant",Autosomal dominant,0,1
604325,PPP2R2B,"Spinocerebellar ataxia 12, 604326 (3), Autosomal dominant",Autosomal dominant,0,1
167790,SPINK1,"Tropical calcific pancreatitis, 608189 (3), Autosomal dominant, Autosomal recessive; Pancreatitis, hereditary, 167800 (3), Autosomal dominant; {Fibrocalculous pancreatic diabetes, susceptibility to}, 608189 (3), Autosomal dominant, Autosomal recessive","Autosomal recessive, Autosomal dominant",1,1
606531,SCGB3A2,"{Asthma, susceptibility to}, 600807 (3), Autosomal dominant",Autosomal dominant,0,1
605010,SPINK5,"Netherton syndrome, 256500 (3), Autosomal recessive",Autosomal recessive,1,0
608533,FBXO38,"Neuronopathy, distal hereditary motor, autosomal dominant 6, 615575 (3), Autosomal dominant",Autosomal dominant,0,1
608206,SH3TC2,"Charcot-Marie-Tooth disease, type 4C, 601596 (3), Autosomal recessive; Mononeuropathy of the median nerve, mild, 613353 (3), Autosomal dominant","Autosomal recessive, Autosomal dominant",1,1
180071,PDE6A,"Retinitis pigmentosa 43, 613810 (3), Autosomal recessive",Autosomal recessive,1,0
606718,SLC26A2,"Epiphyseal dysplasia, multiple, 4, 226900 (3), Autosomal recessive; De la Chapelle dysplasia, 256050 (3), Autosomal recessive; Diastrophic dysplasia, 222600 (3), Autosomal recessive; Diastrophic dysplasia, broad bone-platyspondylic variant, 222600 (3), Autosomal recessive; Achondrogenesis Ib, 600972 (3), Autosomal recessive; Atelosteogenesis, type II, 256050 (3), Autosomal recessive",Autosomal recessive,1,0
164770,CSF1R,"Brain abnormalities, neurodegeneration, and dysosteosclerosis, 618476 (3), Autosomal recessive; Leukoencephalopathy, diffuse hereditary, with spheroids 1, 221820 (3), Autosomal dominant","Autosomal recessive, Autosomal dominant",1,1
173410,PDGFRB,"Premature aging syndrome, Penttinen type, 601812 (3), Autosomal dominant; Kosaki overgrowth syndrome, 616592 (3), Autosomal dominant; Myofibromatosis, infantile, 1, 228550 (3), Autosomal dominant; Basal ganglia calcification, idiopathic, 4, 615007 (3), Autosomal dominant; Myeloproliferative disorder with eosinophilia, 131440 (4), Autosomal dominant",Autosomal dominant,0,1
114078,CAMK2A,"Intellectual developmental disorder, autosomal dominant 53, 617798 (3), Autosomal dominant; ?Intellectual developmental disorder, autosomal recessive 63, 618095 (3), Autosomal recessive","Autosomal recessive, Autosomal dominant",1,1
606847,TCOF1,"Treacher Collins syndrome 1, 154500 (3), Autosomal dominant",Autosomal dominant,0,1
600853,NDST1,"Intellectual developmental disorder, autosomal recessive 46, 616116 (3), Autosomal recessive",Autosomal recessive,1,0
613109,GM2A,"GM2-gangliosidosis, AB variant, 272750 (3), Autosomal recessive",Autosomal recessive,1,0
608331,SLC36A2,"[Iminoglycinuria], 242600 (3), Autosomal recessive, Digenic recessive; [Hyperglycinuria], 138500 (3), Autosomal dominant","Autosomal recessive, Autosomal dominant",1,1
604269,FAT2,"Spinocerebellar ataxia 45, 617769 (3), Autosomal dominant",Autosomal dominant,0,1
182120,SPARC,"Osteogenesis imperfecta, type XVII, 616507 (3), Autosomal recessive",Autosomal recessive,1,0
138491,GLRA1,"Hyperekplexia 1, 149400 (3), Autosomal dominant, Autosomal recessive","Autosomal recessive, Autosomal dominant",1,1
138248,GRIA1,"?Intellectual developmental disorder, autosomal recessive 76, 619931 (3), Autosomal recessive; Intellectual developmental disorder, autosomal dominant 67, 619927 (3), Autosomal dominant","Autosomal recessive, Autosomal dominant",1,1
607005,GEMIN5,"Neurodevelopmental disorder with cerebellar atrophy and motor dysfunction, 619333 (3), Autosomal recessive",Autosomal recessive,1,0
601411,SGCD,"Cardiomyopathy, dilated, 1L, 606685 (3); Muscular dystrophy, limb-girdle, autosomal recessive 6, 601287 (3), Autosomal recessive",Autosomal recessive,1,0
606652,HAVCR2,"T-cell lymphoma, subcutaneous panniculitis-like, 618398 (3), Autosomal recessive",Autosomal recessive,1,0
186973,ITK,"Lymphoproliferative syndrome 1, 613011 (3), Autosomal recessive",Autosomal recessive,1,0
606323,CYFIP2,"Developmental and epileptic encephalopathy 65, 618008 (3), Autosomal dominant",Autosomal dominant,0,1
609383,NIPAL4,"Ichthyosis, congenital, autosomal recessive 6, 612281 (3), Autosomal recessive",Autosomal recessive,1,0
618802,THG1L,"Spinocerebellar ataxia, autosomal recessive 28, 618800 (3), Autosomal recessive",Autosomal recessive,1,0
617910,LSM11,"?Aicardi-Goutieres syndrome 8, 619486 (3), Autosomal recessive",Autosomal recessive,1,0
161561,IL12B,"Immunodeficiency 29, mycobacteriosis, 614890 (3), Autosomal recessive",Autosomal recessive,1,0
600232,GABRB2,"Developmental and epileptic encephalopathy 92, 617829 (3), Autosomal dominant",Autosomal dominant,0,1
137160,GABRA1,"{Epilepsy, juvenile myoclonic, susceptibility to, 5}, 611136 (3); Developmental and epileptic encephalopathy 19, 615744 (3), Autosomal dominant; {Epilepsy, childhood absence, susceptibility to, 4}, 611136 (3)",Autosomal dominant,0,1
137164,GABRG2,"Developmental and epileptic encephalopathy 74, 618396 (3), Autosomal dominant; Febrile seizures, familial, 8, 607681 (3), Autosomal dominant; Generalized epilepsy with febrile seizures plus, type 3, 607681 (3), Autosomal dominant",Autosomal dominant,0,1
600936,HMMR,"{Breast cancer, susceptibility to}, 114480 (3), Autosomal dominant, Somatic mutation",Autosomal dominant,0,1
107820,RARS1,"Leukodystrophy, hypomyelinating, 9, 616140 (3), Autosomal recessive",Autosomal recessive,1,0
603122,DOCK2,"Immunodeficiency 40, 616433 (3), Autosomal recessive",Autosomal recessive,1,0
